"tag" "location" "sex" "year" "duration" "nclicks" "crate" "fyear" "locyear" "mean" "mean0.05" "mean0.1" "median" "mode" "medianIPI" "BLGor" "BLGro"
"88" "sw16_134a" "Norway" "M" 2016 20379 9912 0.486383041366112 "2016" "Norway2016" 0.850381305910645 0.84664654125549 0.850152883481738 0.858150000000023 0.874886216068791 7.4833 15.65 15.15
"89" "sw16_134ad" "DOMINICA" "F" 2016 13210 15835 1.19871309613929 "2016" "DOMINICA2016" 0.501547764371053 0.483657959275106 0.47894235188542 0.470792000000074 0.425002344504754 NA NA NA
"90" "sw17_119c" "DOMINICA" "UN" 2016 17794 10905 0.612847027087782 "2016" "DOMINICA2016" 0.831096534363671 0.785253697386931 0.77874641428098 0.772979166649748 0.770343495845053 6.3333 13.9952 13.7033
"91" "sw18_083a" "DOMINICA" "AF" 2018 28873 29147 1.00948983479375 "2018" "DOMINICA2018" 0.499211287678357 0.478426113476992 0.472988069266767 0.465699999998833 0.460054621774982 2.42 8.35 8.79
"92" "sw18_140a" "DOMINICA" "AF" 2018 33231 38359 1.1543137431916 "2018" "DOMINICA2018" 0.521291379635478 0.499017460083884 0.493981654154081 0.486733333299526 0.478177219090543 2.6583 8.6885 9.0802
"93" "sw18_140b" "DOMINICA" "AF" 2018 36336 35061 0.964910832232497 "2018" "DOMINICA2018" 0.497591922700474 0.476390592572223 0.471259257238978 0.462199999994482 0.421693015038552 3.1917 9.4603 9.7511
"94" "sw18_143a" "DOMINICA" "AF" 2018 45105 38741 0.858906994789935 "2018" "DOMINICA2018" 0.533084647545738 0.51941587956028 0.513971675569216 0.50426666669955 0.490041302956454 2.9417 9.0986 9.4366
"95" "sw18_267a" "Azores" "F" 2018 22063 4291 0.194488510175407 "2018" "Azores2018" 0.643139804923364 0.614099587203303 0.610191526407429 0.610000000000127 0.621571510470444 NA NA NA
"96" "sw18_281a" "Azores" "UN" 2018 2693 3262 1.21128852580765 "2018" "Azores2018" 0.616711469534052 0.57501658925017 0.565470149253734 0.56000000000131 0.567470829572477 NA NA NA
"97" "sw18_292a" "Azores" "UN" 2018 23684 12670 0.534960310758318 "2018" "Azores2018" 0.650106697819314 0.630104707511249 0.620845015576325 0.600000000000364 0.595027332889042 NA NA NA
"98" "sw19_088a" "Azores" "UN" 2019 83995 68203 0.81198880885767 "2019" "Azores2019" 0.676995377728525 0.664478719440086 0.66347051854551 0.669999999998254 0.67771005007113 NA NA NA
"99" "sw19_137a" "Azores" "UN" 2019 34559 28394 0.821609421568911 "2019" "Azores2019" 0.52347310209653 0.503141746062627 0.499041431508962 0.490000000005239 0.416780395492508 NA NA NA
"100" "sw19_158a" "Azores" "UN" 2019 27438 37537 1.36806618558204 "2019" "Azores2019" 0.420726647152468 0.410425653315082 0.406423711406382 0.399999999997817 0.386210428905374 NA NA NA
"101" "sw19_160a" "Azores" "UN" 2019 92812 107607 1.15940826617248 "2019" "Azores2019" 0.485863260362872 0.471090336667851 0.467166866609526 0.450000000011642 0.433807926649526 NA NA NA
"102" "sw19_163a" "Azores" "UN" 2019 50040 60501 1.20905275779377 "2019" "Azores2019" 0.423297538258861 0.408043844569652 0.403766969842032 0.390000000000327 0.384163730730269 NA NA NA
"103" "sw19_253b" "Norway" "M" 2019 33659 28126 0.835616031373481 "2019" "Norway2019" 0.5615000543054 0.535140215082151 0.52960408411463 0.499375000003056 0.421060964842792 5.9667 13.467 13.2421
"104" "sw19_259a" "Norway" "M" 2019 21520 17655 0.820399628252788 "2019" "Norway2019" 0.591530380602598 0.574081302149905 0.569003910014808 0.552775000000111 0.50064053074966 4.5167 11.3753 11.418
"105" "sw20_161a" "Azores" "UN" 2020 70360 63822 0.907077885162024 "2020" "Azores2020" 0.52237407466614 0.502308543650574 0.495820211770205 0.489549999999326 0.371176468926128 NA NA NA
"106" "sw20_184a" "Azores" "UN" 2020 42912 24825 0.578509507829978 "2020" "Azores2020" 0.706603405139952 0.690934897606214 0.690330565238489 0.688280000002123 0.618077502046282 NA NA NA
"107" "sw20_189a" "Azores" "UN" 2020 19411 6753 0.347895523156973 "2020" "Azores2020" 0.395191376228776 0.377294063042939 0.373412476961743 0.379700000000071 0.389613964897931 NA NA NA
"108" "sw20_191a" "Azores" "UN" 2020 517 372 0.719535783365571 "2020" "Azores2020" 0.621481804521277 0.581816422647059 0.577643171192054 0.580481249999934 0.457941716680321 NA NA NA
"109" "sw20_192a" "Azores" "UN" 2020 50980 31509 0.618065908199294 "2020" "Azores2020" 0.503105578696553 0.469305591130101 0.459308788647777 0.419455000000198 0.381308911391817 NA NA NA
"110" "sw20_225a" "Azores" "UN" 2020 63339 38204 0.603167085050285 "2020" "Azores2020" 0.613379626429543 0.589722986845788 0.584883862720403 0.572999999999865 0.521419167098462 NA NA NA
"111" "sw21_196a" "Azores" "UN" 2021 47905 53284 1.11228473019518 "2021" "Azores2021" 0.518502510578993 0.496547625745256 0.491606887852596 0.478666666604113 0.453686077132844 2.4833 8.4351 8.86
"112" "sw21_209a" "Azores" "UN" 2021 39267 41351 1.05307255456236 "2021" "Azores2021" 0.521444263393452 0.498334559048548 0.49028269243725 0.463183333300549 0.440256061746498 2.9833 9.1589 9.489
"113" "sw21_211a" "Azores" "UN" 2021 60044 47354 0.788654986343348 "2021" "Azores2021" 0.634230459573833 0.609586300808136 0.60341756971158 0.591400000001158 0.576114532876408 2.85 8.9659 9.3213
"114" "sw21_215a" "Azores" "UN" 2021 48634 37430 0.769626187440885 "2021" "Azores2021" 0.546438955211142 0.523757709191798 0.519447658480898 0.505466666660141 0.46844838096586 2.975 9.1468 9.4786
"115" "sw21_215b" "Azores" "UN" 2021 30478 26953 0.884342804645974 "2021" "Azores2021" 0.511509990718018 0.490128256803455 0.486171225341681 0.473204166650248 0.431850199166405 2.8917 9.0262 9.3737
"116" "sw21_221a" "Azores" "UN" 2021 32993 33452 1.01391204194829 "2021" "Azores2021" 0.526368795099419 0.502335477977951 0.49559377649473 0.486150000000634 0.379644825525671 3.175 9.4362 9.7302
"117" "sw21_230a" "Azores" "UN" 2021 48092 25953 0.539653164767529 "2021" "Azores2021" 0.599996803007786 0.580715639259812 0.575963239397845 0.566900000051646 0.553568333492428 2.725 8.785 9.164
"118" "sw21_242a" "Azores" "UN" 2021 31680 11674 0.368497474747475 "2021" "Azores2021" 0.654725157152659 0.629260106801403 0.626873665533019 0.62445833334823 0.612967353627174 2.625 8.6402 9.0382
